sequence_name,is_uk,is_cog_uk,central_sample_id,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,lineage,uk_lineage,del_lineage,phylotype
England/NORW-EC69F/2020,Y,Y,NORW-EC69F,,2020-05-10,20,UK,UK-ENG,N,,,B.1.93,UK533,,
England/NORW-EC8C6/2020,Y,Y,NORW-EC8C6,,2020-05-17,21,UK,UK-ENG,N,,,B.1.1,UK621,,
England/NORW-EB36C/2020,Y,Y,NORW-EB36C,,2020-05-03,19,UK,UK-ENG,N,,,B.1.1,UK1709,,
England/NORW-EC705/2020,Y,Y,NORW-EC705,,2020-05-11,20,UK,UK-ENG,N,,,B.1.1,UK1173,,
England/NORW-EA303/2020,Y,Y,NORW-EA303,,2020-05-12,20,UK,UK-ENG,N,,,B.1.93,UK533,,
England/NORW-EC6F9/2020,Y,Y,NORW-EC6F9,,2020-05-11,20,UK,UK-ENG,N,,,B.1.1,UK1427,,
England/NORW-EA172/2020,Y,Y,NORW-EA172,,2020-05-13,20,UK,UK-ENG,N,,,B.1.1,UK1893,,
England/NORW-EBC43/2020,Y,Y,NORW-EBC43,,2020-05-06,19,UK,UK-ENG,N,,,B.1,UK4717,,
England/NORW-EC617/2020,Y,Y,NORW-EC617,,2020-05-09,19,UK,UK-ENG,N,,,B.1.1,UK1926,,
England/NORW-EB01A/2020,Y,Y,NORW-EB01A,,2020-04-30,18,UK,UK-ENG,N,,,B.3,UK462,,
England/NORW-EC741/2020,Y,Y,NORW-EC741,,2020-05-12,20,UK,UK-ENG,N,,,B.1.1,UK1709,,
England/NORW-EB28D/2020,Y,Y,NORW-EB28D,,2020-05-03,19,UK,UK-ENG,N,,,B.1.1,UK1173,,
England/NORW-EAC08/2020,Y,Y,NORW-EAC08,,2020-05-09,19,UK,UK-ENG,N,,,B,UK255,,
England/NORW-EB93D/2020,Y,Y,NORW-EB93D,,2020-05-08,19,UK,UK-ENG,N,,,B.1.1,UK621,,
England/NORW-E9058/2020,Y,Y,NORW-E9058,,2020-04-25,17,UK,UK-ENG,Y,,,B.1.1,UK1893,,
England/NORW-E9559/2020,Y,Y,NORW-E9559,,2020-04-22,17,UK,UK-ENG,Y,,,B.1,UK4717,del_trans_468,UK4717_1
England/NORW-E704B/2020,Y,Y,NORW-E704B,,2020-04-21,17,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-E95E0/2020,Y,Y,NORW-E95E0,,2020-04-22,17,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-E6F7C/2020,Y,Y,NORW-E6F7C,,2020-04-22,17,UK,UK-ENG,Y,,,B.1.1,UK1173,,
England/NORW-E96DE/2020,Y,Y,NORW-E96DE,,2020-04-22,17,UK,UK-ENG,Y,,,B.1.111,UK10626,,
England/NORW-E8F7A/2020,Y,Y,NORW-E8F7A,,2020-04-25,17,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-E8EF5/2020,Y,Y,NORW-E8EF5,,2020-04-24,17,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-E901C/2020,Y,Y,NORW-E901C,,2020-04-24,17,UK,UK-ENG,Y,,,B.1.1,UK1427,,
England/NORW-E8F5C/2020,Y,Y,NORW-E8F5C,,2020-04-26,18,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-E92F8/2020,Y,Y,NORW-E92F8,,2020-04-27,18,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-E8F10/2020,Y,Y,NORW-E8F10,,2020-04-26,18,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-E8F89/2020,Y,Y,NORW-E8F89,,2020-04-24,17,UK,UK-ENG,Y,,,B.1,UK2913,del_trans_738350,UK2913_1.6
England/NORW-E8F6B/2020,Y,Y,NORW-E8F6B,,2020-04-25,17,UK,UK-ENG,Y,,,B.1.1,UK1424,,
England/NORW-E7861/2020,Y,Y,NORW-E7861,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1,UK1173,,
England/NORW-E788F/2020,Y,Y,NORW-E788F,,2020-05-06,19,UK,UK-ENG,Y,,,B.1.225,UK4371,,
England/NORW-E79C8/2020,Y,Y,NORW-E79C8,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.1,UK1893,,
England/NORW-E75B5/2020,Y,Y,NORW-E75B5,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.225,UK4371,,
England/NORW-E754C/2020,Y,Y,NORW-E754C,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.225,UK4371,,
England/NORW-E9AD2/2020,Y,Y,NORW-E9AD2,,2020-04-30,18,UK,UK-ENG,Y,,,B,UK118,del_trans_197,UK118_1
England/NORW-EA109/2020,Y,Y,NORW-EA109,,2020-05-02,18,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-E7F5D/2020,Y,Y,NORW-E7F5D,,2020-05-06,19,UK,UK-ENG,Y,,,B.1.225,UK4371,,
England/NORW-E78BC/2020,Y,Y,NORW-E78BC,,2020-05-05,19,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-E9E9A/2020,Y,Y,NORW-E9E9A,,2020-05-02,18,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-E7870/2020,Y,Y,NORW-E7870,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1,UK1766,del_trans_544028,UK1766_1
England/NORW-E7EAB/2020,Y,Y,NORW-E7EAB,,2020-05-06,19,UK,UK-ENG,Y,,,B.1.225,UK4371,,
England/NORW-E7588/2020,Y,Y,NORW-E7588,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.225,UK4371,,
England/NORW-E76D0/2020,Y,Y,NORW-E76D0,,2020-05-04,19,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-E9EB8/2020,Y,Y,NORW-E9EB8,,2020-05-03,19,UK,UK-ENG,Y,,,B.1.1,UK1893,,
