#node	date	numeric date
England_NORW-22B2BC_2021	2021-01-27	2021.072603
NODE_0000143	2021-01-23	2021.061644
England_NORW-22BE6D_2021	2021-01-23	2021.061644
England_NORW-22B42F_2021	2021-01-23	2021.061644
NODE_0000135	2020-10-21	2020.804855
England_NORW-22D469_2021	2021-02-20	2021.138356
NODE_0000141	2020-11-21	2020.889220
England_NORW-227E07_2021	2021-01-12	2021.031507
England_NORW-227F7D_2021	2021-01-12	2021.031507
NODE_0000146	2020-11-08	2020.854723
NODE_0000137	2021-01-04	2021.008813
England_NORW-22B225_2021	2021-01-28	2021.075342
England_NORW-22BC45_2021	2021-01-23	2021.061644
NODE_0000148	2021-01-28	2021.075342
England_NORW-22B39B_2021	2021-01-28	2021.075342
England_NORW-22B252_2021	2021-01-28	2021.075342
NODE_0000142	2021-01-03	2021.006849
England_NORW-22897E_2021	2021-01-03	2021.006849
England_NORW-22B2AD_2021	2021-01-27	2021.072603
NODE_0000154	2021-01-08	2021.020548
England_NORW-22B00D_2021	2021-01-08	2021.020548
NODE_0000155	2021-01-26	2021.069863
England_NORW-22B216_2021	2021-01-28	2021.075342
England_NORW-22BEC7_2021	2021-01-26	2021.069863
NODE_0000134	2020-10-09	2020.772275
England_NORW-22BB39_2021	2021-01-28	2021.075342
NODE_0000136	2020-10-09	2020.773070
NODE_0000113	2020-10-18	2020.795352
NODE_0000122	2021-01-08	2021.020548
England_NORW-22B37D_2021	2021-01-09	2021.023288
England_NORW-22AF4D_2021	2021-01-08	2021.020548
England_NORW-228C57_2021	2021-01-18	2021.047945
NODE_0000115	2020-11-22	2020.892455
England_NORW-22D548_2021	2021-02-20	2021.138356
NODE_0000116	2020-11-22	2020.892455
NODE_0000119	2020-12-08	2020.936447
England_NORW-229281_2021	2021-01-04	2021.009589
NODE_0000120	2021-01-20	2021.053425
England_NORW-22B902_2021	2021-01-26	2021.069863
England_NORW-22BCCD_2021	2021-01-20	2021.053425
NODE_0000112	2020-12-18	2020.962362
England_NORW-22B45C_2021	2021-01-27	2021.072603
NODE_0000117	2021-01-02	2021.003654
England_NORW-22960D_2021	2021-01-20	2021.053425
NODE_0000118	2021-01-12	2021.030149
England_NORW-22BF6A_2021	2021-02-02	2021.089041
England_NORW-22BD42_2021	2021-01-22	2021.058904
NODE_0000149	2020-12-30	2020.994801
England_NORW-22D43C_2021	2021-02-21	2021.141096
NODE_0000127	2021-02-07	2021.102740
England_NORW-22A332_2021	2021-02-07	2021.102740
NODE_0000128	2021-02-09	2021.108219
England_NORW-22D27E_2021	2021-02-09	2021.108219
England_NORW-22D2BA_2021	2021-02-13	2021.119178
NODE_0000171	2020-11-05	2020.845077
NODE_0000156	2020-11-08	2020.853259
England_NORW-22B54A_2021	2021-01-27	2021.072603
NODE_0000157	2020-11-16	2020.875887
NODE_0000180	2020-12-15	2020.955756
England_NORW-22BAF0_2021	2021-01-24	2021.064384
NODE_0000181	2021-01-06	2021.015801
England_NORW-22D593_2021	2021-02-21	2021.141096
England_NORW-2273F9_2021	2021-02-08	2021.105479
NODE_0000160	2020-11-18	2020.880683
England_NORW-22BF79_2021	2021-01-31	2021.083562
NODE_0000172	2020-12-29	2020.993264
England_NORW-22B313_2021	2021-01-28	2021.075342
England_NORW-22B243_2021	2021-01-27	2021.072603
England_NORW-22CB65_2021	2021-01-26	2021.069863
NODE_0000165	2021-01-04	2021.009589
England_NORW-228B87_2021	2021-01-04	2021.009589
NODE_0000163	2021-01-20	2021.053425
England_NORW-228CEE_2021	2021-01-20	2021.053425
NODE_0000164	2021-01-22	2021.058904
England_NORW-22B9B7_2021	2021-01-24	2021.064384
England_NORW-227F8C_2021	2021-01-22	2021.058904
NODE_0000183	2020-12-02	2020.918610
England_NORW-22D162_2021	2021-02-13	2021.119178
England_NORW-22B38C_2021	2021-01-27	2021.072603
NODE_0000184	2021-01-07	2021.018824
England_NORW-22D2F6_2021	2021-02-09	2021.108219
NODE_0000185	2021-01-23	2021.061838
England_NORW-22D223_2021	2021-02-10	2021.110959
England_NORW-22D171_2021	2021-02-14	2021.121918
NODE_0000188	2020-12-31	2020.998886
England_NORW-2245E7_2021	2021-02-12	2021.116438
NODE_0000193	2021-02-12	2021.116438
England_NORW-22D205_2021	2021-02-12	2021.116438
England_NORW-22D0DE_2021	2021-02-12	2021.116438
NODE_0000170	2021-01-14	2021.037847
England_NORW-22D38A_2021	2021-02-10	2021.110959
NODE_0000173	2021-02-05	2021.097260
England_NORW-22A9F4_2021	2021-02-05	2021.097260
NODE_0000174	2021-02-07	2021.102740
England_NORW-22D180_2021	2021-02-14	2021.121918
England_NORW-22AEAA_2021	2021-02-07	2021.102740
NODE_0000195	2021-01-25	2021.066069
England_NORW-22D108_2021	2021-02-09	2021.108219
England_NORW-22D214_2021	2021-02-14	2021.121918
England_NORW-22D29C_2021	2021-02-19	2021.135616
NODE_0000176	2021-02-07	2021.102740
England_NORW-22D3B7_2021	2021-02-12	2021.116438
England_NORW-22A077_2021	2021-02-07	2021.102740
