sequence_name,is_uk,is_cog_uk,central_sample_id,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,lineage,uk_lineage,del_lineage,phylotype
_England_NORW-EA8D7_2020_,Y,Y,NORW-EA8D7,,2020-05-17,21,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-EA619_2020_,Y,Y,NORW-EA619,,2020-05-19,21,UK,UK-ENG,N,,,B.1,UK2989,,
_England_NORW-EA5FE_2020_,Y,Y,NORW-EA5FE,,2020-05-21,21,UK,UK-ENG,N,,,B.1,UK4495,,
_England_NORW-E9999_2020_,Y,Y,NORW-E9999,,2020-04-29,18,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-EA093_2020_,Y,Y,NORW-EA093,,2020-05-18,21,UK,UK-ENG,N,,,B.1,UK2913,,
_England_NORW-E90A3_2020_,Y,Y,NORW-E90A3,,2020-04-28,18,UK,UK-ENG,Y,,,B.1.201,UK3230,,
_England_NORW-EA87D_2020_,Y,Y,NORW-EA87D,,2020-05-21,21,UK,UK-ENG,N,,,B.1,UK4371,,
_England_NORW-E8DDA_2020_,Y,Y,NORW-E8DDA,,2020-04-26,18,UK,UK-ENG,Y,,,B.1.1,UK1665,,
_England_NORW-EB205_2020_,Y,Y,NORW-EB205,,2020-05-03,19,UK,UK-ENG,N,,,B.1.1,UK1893,,
_England_NORW-E8DCB_2020_,Y,Y,NORW-E8DCB,,2020-04-28,18,UK,UK-ENG,Y,,,B,UK255,,
_England_NORW-E8F2F_2020_,Y,Y,NORW-E8F2F,,2020-04-28,18,UK,UK-ENG,Y,,,B.1,UK4371,,
_England_NORW-E9119_2020_,Y,Y,NORW-E9119,,2020-04-28,18,UK,UK-ENG,N,,,B.1.201,UK3230,,
_England_NORW-EB214_2020_,Y,Y,NORW-EB214,,2020-05-03,19,UK,UK-ENG,N,,,B.1.225,UK4371,,
_England_NORW-EA5A3_2020_,Y,Y,NORW-EA5A3,,2020-05-21,21,UK,UK-ENG,N,,,B.3,UK462,,
_England_NORW-E9A69_2020_,Y,Y,NORW-E9A69,,2020-04-30,18,UK,UK-ENG,Y,,,B.1.225,UK1625,,
_England_NORW-E9D15_2020_,Y,Y,NORW-E9D15,,2020-04-30,18,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-EAA4A_2020_,Y,Y,NORW-EAA4A,,2020-05-16,20,UK,UK-ENG,Y,,,B.1.1,UK1173,,
_England_NORW-E9A1E_2020_,Y,Y,NORW-E9A1E,,2020-04-29,18,UK,UK-ENG,Y,,,B,UK255,,
_England_NORW-E90FE_2020_,Y,Y,NORW-E90FE,,2020-04-29,18,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-EB223_2020_,Y,Y,NORW-EB223,,2020-05-03,19,UK,UK-ENG,N,,,B.1,UK2913,del_trans_708283,UK2913_1.3
_England_NORW-E8E40_2020_,Y,Y,NORW-E8E40,,2020-04-28,18,UK,UK-ENG,Y,,,B.1.1,UK1893,del_trans_516,UK1893_1.71
_England_NORW-E9850_2020_,Y,Y,NORW-E9850,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK5356,del_trans_514115,UK5356_1.1.1
_England_NORW-EA734_2020_,Y,Y,NORW-EA734,,2020-05-21,21,UK,UK-ENG,N,,,B.1.93,UK533,,
_England_NORW-E98E7_2020_,Y,Y,NORW-E98E7,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK1427,,
_England_NORW-EA989_2020_,Y,Y,NORW-EA989,,2020-05-18,21,UK,UK-ENG,N,,,B.1.1,UK9544,,
_England_NORW-E910A_2020_,Y,Y,NORW-E910A,,2020-04-28,18,UK,UK-ENG,Y,,,B.1.1,UK2706,,
_England_NORW-EA96B_2020_,Y,Y,NORW-EA96B,,2020-05-18,21,UK,UK-ENG,N,,,B.1,UK2989,,
_England_NORW-E760D_2020_,Y,Y,NORW-E760D,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.201,UK3230,,
_England_NORW-E997B_2020_,Y,Y,NORW-E997B,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-E9AE1_2020_,Y,Y,NORW-E9AE1,,2020-04-30,18,UK,UK-ENG,Y,,,B,UK512,,
_England_NORW-E9207_2020_,Y,Y,NORW-E9207,,2020-04-26,18,UK,UK-ENG,Y,,,B.1.201,UK3230,,
_England_NORW-E91BF_2020_,Y,Y,NORW-E91BF,,2020-04-28,18,UK,UK-ENG,Y,,,B,UK255,,
_England_NORW-E99A8_2020_,Y,Y,NORW-E99A8,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-EA585_2020_,Y,Y,NORW-EA585,,2020-05-21,21,UK,UK-ENG,Y,,,B.1,UK6628,del_trans_707229,UK6628_1
_England_NORW-E9CBE_2020_,Y,Y,NORW-E9CBE,,2020-04-30,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-EAB65_2020_,Y,Y,NORW-EAB65,,2020-04-29,18,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-E9771_2020_,Y,Y,NORW-E9771,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-EAA1D_2020_,Y,Y,NORW-EAA1D,,2020-05-16,20,UK,UK-ENG,Y,,,B.1.225,UK4371,,
_England_NORW-E90EF_2020_,Y,Y,NORW-E90EF,,2020-04-28,18,UK,UK-ENG,Y,,,B.1.1,UK8896,,
_England_NORW-EA813_2020_,Y,Y,NORW-EA813,,2020-05-18,21,UK,UK-ENG,N,,,B.1,UK2989,,
_England_NORW-E8FF2_2020_,Y,Y,NORW-E8FF2,,2020-04-28,18,UK,UK-ENG,Y,,,B.1.1.88,UK9137,,
_England_NORW-E995D_2020_,Y,Y,NORW-E995D,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-EA7CB_2020_,Y,Y,NORW-EA7CB,,2020-05-17,21,UK,UK-ENG,Y,,,B.1,UK4371,,
_England_NORW-EA743_2020_,Y,Y,NORW-EA743,,2020-05-21,21,UK,UK-ENG,N,,,B.1.1,UK9544,,
_England_NORW-E9094_2020_,Y,Y,NORW-E9094,,2020-04-29,18,UK,UK-ENG,Y,,,B,UK255,,
_England_NORW-E9137_2020_,Y,Y,NORW-E9137,,2020-04-28,18,UK,UK-ENG,Y,,,B.1.1,UK2330,,
_England_NORW-EA628_2020_,Y,Y,NORW-EA628,,2020-05-20,21,UK,UK-ENG,N,,,B.1.1.3,UK9080,,
_England_NORW-E78DA_2020_,Y,Y,NORW-E78DA,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-EAA2C_2020_,Y,Y,NORW-EAA2C,,2020-05-16,20,UK,UK-ENG,Y,,,B.1.1,UK1709,,
_England_NORW-E9AB4_2020_,Y,Y,NORW-E9AB4,,2020-04-29,18,UK,UK-ENG,Y,,,B,UK255,,
_England_NORW-E9735_2020_,Y,Y,NORW-E9735,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-EA8AA_2020_,Y,Y,NORW-EA8AA,,2020-05-20,21,UK,UK-ENG,N,,,B.1,UK4371,,
_England_NORW-E9911_2020_,Y,Y,NORW-E9911,,2020-04-29,18,UK,UK-ENG,Y,,,B.1,UK2916,,
_England_NORW-EB2C9_2020_,Y,Y,NORW-EB2C9,,2020-05-03,19,UK,UK-ENG,N,,,B.1.1,UK1766,del_trans_514516,UK1766_1
_England_NORW-EAA0E_2020_,Y,Y,NORW-EAA0E,,2020-05-18,21,UK,UK-ENG,N,,,B.1,UK2913,,
_England_NORW-E939B_2020_,Y,Y,NORW-E939B,,2020-04-28,18,UK,UK-ENG,Y,,,B.1.1,UK8896,,
_England_NORW-E8DE9_2020_,Y,Y,NORW-E8DE9,,2020-04-28,18,UK,UK-ENG,Y,,,B.1.201,UK3230,,
